Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-imu3,branch-8jxl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,ANSWER2,train_conf2,train_conf3,ANSWER3,train_conf4,ANSWER4,train_conf5,ANSWER5,didyouknow,definition,sampleimages,SAMguessed,visualization,question,test,ShowProgressBar,image0,black_arrow,black_arrow3,black_arrow4,black_arrow2,arrow_beam,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
1,1614748820501,03/03/2021 05:20:20,1614748820390,-5,03/03/2021 00:20:20,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1614748851893,03/03/2021 05:20:51,1614748851815,-5,03/03/2021 00:20:51,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,1,1,1,Screen 1,advancementZone,continue_button,29953.340000000026,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1614748867402,03/03/2021 05:21:07,1614748867331,-5,03/03/2021 00:21:07,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,1,1,2,Screen 2,advancementZone,continue_button,15510.874999999942,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1614748885018,03/03/2021 05:21:25,1614748884898,-5,03/03/2021 00:21:24,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,1,1,3,Screen 3,advancementZone,continue_button,17562.455000002956,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1614748889786,03/03/2021 05:21:29,1614748889718,-5,03/03/2021 00:21:29,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,1,1,4,Screen 4,advancementZone,continue_button,4814.155000000028,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1614748895775,03/03/2021 05:21:35,1614748895649,-5,03/03/2021 00:21:35,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,1,1,5,Screen 5,advancementZone,continue_button,5926.279999999679,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1614748904175,03/03/2021 05:21:44,1614748904092,-5,03/03/2021 00:21:44,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,2,1,1,Screen 1,advancementZone,continue_button,8377.93000000238,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1614748921441,03/03/2021 05:22:01,1614748921362,-5,03/03/2021 00:22:01,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,2,1,2,Imagenet,advancementZone,continue_button,17262.69499999762,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1614748940849,03/03/2021 05:22:20,1614748940789,-5,03/03/2021 00:22:20,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,2,1,3,Screen 2,advancementZone,continue_button,19421.525000001566,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1614748960579,03/03/2021 05:22:40,1614748960013,-5,03/03/2021 00:22:40,37087,30,task-hd4d,,10563051,5f483710cb08012f80d41359,3214711,,complete,,603f1c7f1e9e5eec8179b29d,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.192,2560x1440,2560x1270,,Natural_SOD_Val,3,SOD,,,,13,,Qualified,,Input,Input,2,1,4,Screen 3,advancementZone,continue_button,19217.805000000226,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
