Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
1,1614183455564,24/02/2021 16:17:35,1614183541005,1,24/02/2021 17:19:01,37087,25,questionnaire-9g37,,10336930,602f94255bae50c9dbc7fd4b,3144636,,complete,,60367bb9083e28ae10cfcf88,computer,Desktop or Laptop,Windows 10,Chrome 76.0.3809.100,1024x768,1024x625,,Generic Consent,1,Conf,5,,,,,No,BEGIN QUESTIONNAIRE,
2,1614183465718,24/02/2021 16:17:45,1614183551177,1,24/02/2021 17:19:11,37087,25,questionnaire-9g37,,10336930,602f94255bae50c9dbc7fd4b,3144636,,complete,,60367bb9083e28ae10cfcf88,computer,Desktop or Laptop,Windows 10,Chrome 76.0.3809.100,1024x768,1024x625,,Generic Consent,1,Conf,5,,,,,No,ConsentFlag,1
3,1614183465897,24/02/2021 16:17:45,1614183551179,1,24/02/2021 17:19:11,37087,25,questionnaire-9g37,,10336930,602f94255bae50c9dbc7fd4b,3144636,,complete,,60367bb9083e28ae10cfcf88,computer,Desktop or Laptop,Windows 10,Chrome 76.0.3809.100,1024x768,1024x625,,Generic Consent,1,Conf,5,,,,,No,END QUESTIONNAIRE,10174
1,1614183721858,24/02/2021 16:22:01,1614183721819,0,24/02/2021 16:22:01,37087,25,questionnaire-9g37,,10337207,5f989af4050b5a196e0c5bc0,3144707,,complete,,60367d1e3e6bad1e6e2bdabd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1200,1920x1057,,Generic Consent,1,EP,,,9,,,No,BEGIN QUESTIONNAIRE,
2,1614183723889,24/02/2021 16:22:03,1614183723863,0,24/02/2021 16:22:03,37087,25,questionnaire-9g37,,10337207,5f989af4050b5a196e0c5bc0,3144707,,complete,,60367d1e3e6bad1e6e2bdabd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1200,1920x1057,,Generic Consent,1,EP,,,9,,,No,ConsentFlag,1
3,1614183723953,24/02/2021 16:22:03,1614183723864,0,24/02/2021 16:22:03,37087,25,questionnaire-9g37,,10337207,5f989af4050b5a196e0c5bc0,3144707,,complete,,60367d1e3e6bad1e6e2bdabd,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1920x1200,1920x1057,,Generic Consent,1,EP,,,9,,,No,END QUESTIONNAIRE,2045
1,1614183897639,24/02/2021 16:24:57,1614183897627,0,24/02/2021 16:24:57,37087,25,questionnaire-9g37,,10337443,5ae0b4bfeb6040000153bbc8,3144746,,complete,,60367dcfb21c0d6079fc79f0,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,NNs,,,,,15,No,BEGIN QUESTIONNAIRE,
2,1614183926021,24/02/2021 16:25:26,1614183926066,0,24/02/2021 16:25:26,37087,25,questionnaire-9g37,,10337443,5ae0b4bfeb6040000153bbc8,3144746,,complete,,60367dcfb21c0d6079fc79f0,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,NNs,,,,,15,No,ConsentFlag,1
3,1614183926084,24/02/2021 16:25:26,1614183926071,0,24/02/2021 16:25:26,37087,25,questionnaire-9g37,,10337443,5ae0b4bfeb6040000153bbc8,3144746,,complete,,60367dcfb21c0d6079fc79f0,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x625,,Generic Consent,1,NNs,,,,,15,No,END QUESTIONNAIRE,28444
1,1614183923699,24/02/2021 16:25:23,1614183923586,0,24/02/2021 16:25:23,37087,25,questionnaire-9g37,,10337478,5f735a3df5b78705ebbb8294,3144750,,complete,,60367dc5279f309da90b1cba,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Generic Consent,1,GradCAM,,6,,,,No,BEGIN QUESTIONNAIRE,
2,1614183928207,24/02/2021 16:25:28,1614183928234,0,24/02/2021 16:25:28,37087,25,questionnaire-9g37,,10337478,5f735a3df5b78705ebbb8294,3144750,,complete,,60367dc5279f309da90b1cba,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Generic Consent,1,GradCAM,,6,,,,No,ConsentFlag,1
3,1614183928302,24/02/2021 16:25:28,1614183928235,0,24/02/2021 16:25:28,37087,25,questionnaire-9g37,,10337478,5f735a3df5b78705ebbb8294,3144750,,complete,,60367dc5279f309da90b1cba,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1280x720,1280x578,,Generic Consent,1,GradCAM,,6,,,,No,END QUESTIONNAIRE,4649
1,1614183998763,24/02/2021 16:26:38,1614183998541,0,24/02/2021 16:26:38,37087,25,questionnaire-9g37,,10337563,5ef235108343cb06184dd669,3144772,,complete,,60367e199b8fb3585a0caac9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 88.0.4324.150,1440x900,1252x729,,Generic Consent,1,Conf,6,,,,,No,BEGIN QUESTIONNAIRE,
